12-05-2015 18:01:08,,,,,,,,,,,
Iteration,Direction_Tx,Byte_All_Tx,Byte_Sequence_Tx,Value_Tx,Time_Tx,Direction_Rx,Byte_All_Rx,Byte_Sequence_Rx,Value_Rx,Time_Rx,Latency Tx -> Rx
159,Tx,1831680,11520,0xff,1431453827.937337,Rx,1831680,11520,0xff,1431453827.937337,0.0
160,Tx,1843200,11520,0xff,1431453828.938851,Rx,1843200,11520,0xff,1431453828.938851,0.0
161,Tx,1854720,11520,0xff,1431453829.94436,Rx,1854720,11520,0xff,1431453829.94436,0.0
162,Tx,1866240,11520,0xff,1431453830.937867,Rx,1866240,11520,0xff,1431453830.937867,0.0
163,Tx,1877760,11520,0xff,1431453831.943874,Rx,1877760,11520,0xff,1431453831.943874,0.0
164,Tx,1889280,11520,0xff,1431453832.942382,Rx,1889280,11520,0xff,1431453832.942382,0.0
165,Tx,1900800,11520,0xff,1431453833.939891,Rx,1900800,11520,0xff,1431453833.939891,0.0
166,Tx,1912320,11520,0xff,1431453834.940901,Rx,1912320,11520,0xff,1431453834.940901,0.0
167,Tx,1923840,11520,0xff,1431453835.939906,Rx,1923840,11520,0xff,1431453835.939906,0.0
168,Tx,1935360,11520,0xff,1431453836.937914,Rx,1935360,11520,0xff,1431453836.937914,0.0
169,Tx,1946880,11520,0xff,1431453837.950423,Rx,1946880,11520,0xff,1431453837.950423,0.0
170,Tx,1958400,11520,0xff,1431453838.95343,Rx,1958400,11520,0xff,1431453838.95343,0.0
171,Tx,1969920,11520,0xff,1431453839.953436,Rx,1969920,11520,0xff,1431453839.953436,0.0
172,Tx,1981440,11520,0xff,1431453840.94498,Rx,1981440,11520,0xff,1431453840.94498,0.0
173,Tx,1992960,11520,0xff,1431453841.952038,Rx,1992960,11520,0xff,1431453841.952038,0.0
174,Tx,2004480,11520,0xff,1431453842.959581,Rx,2004480,11520,0xff,1431453842.959581,0.0
175,Tx,2016000,11520,0xff,1431453843.97159,Rx,2016000,11520,0xff,1431453843.97159,0.0
176,Tx,2027520,11520,0xff,1431453844.9906,Rx,2027520,11520,0xff,1431453844.9906,0.0
177,Tx,2039040,11520,0xff,1431453846.014607,Rx,2039040,11520,0xff,1431453846.014607,0.0
178,Tx,2050560,11520,0xff,1431453847.007615,Rx,2050560,11520,0xff,1431453847.007615,0.0
179,Tx,2062080,11520,0xff,1431453848.014164,Rx,2062080,11520,0xff,1431453848.014164,0.0
180,Tx,2073600,11520,0xff,1431453849.006676,Rx,2073600,11520,0xff,1431453849.006676,0.0
181,Tx,2085120,11520,0xff,1431453850.014684,Rx,2085120,11520,0xff,1431453850.014684,0.0
182,Tx,2096640,11520,0xff,1431453851.031193,Rx,2096640,11520,0xff,1431453851.031193,0.0
183,Tx,2108160,11520,0xff,1431453852.0302,Rx,2108160,11520,0xff,1431453852.0302,0.0
184,Tx,2119680,11520,0xff,1431453853.022208,Rx,2119680,11520,0xff,1431453853.022208,0.0
185,Tx,2131200,11520,0xff,1431453854.024214,Rx,2131200,11520,0xff,1431453854.024214,0.0
186,Tx,2142720,11520,0xff,1431453855.027224,Rx,2142720,11520,0xff,1431453855.027224,0.0
187,Tx,2154240,11520,0xff,1431453856.028233,Rx,2154240,11520,0xff,1431453856.028233,0.0
188,Tx,2165760,11520,0xff,1431453857.031245,Rx,2165760,11520,0xff,1431453857.031245,0.0
189,Tx,2177280,11520,0xff,1431453858.030257,Rx,2177280,11520,0xff,1431453858.030257,0.0
190,Tx,2188800,11520,0xff,1431453859.027266,Rx,2188800,11520,0xff,1431453859.027266,0.0
191,Tx,2200320,11520,0xff,1431453860.029774,Rx,2200320,11520,0xff,1431453860.029774,0.0
192,Tx,2211840,11520,0xff,1431453861.029281,Rx,2211840,11520,0xff,1431453861.029281,0.0
193,Tx,2223360,11520,0xff,1431453862.023289,Rx,2223360,11520,0xff,1431453862.023289,0.0
194,Tx,2234880,11520,0xff,1431453863.022294,Rx,2234880,11520,0xff,1431453863.022294,0.0
195,Tx,2246400,11520,0xff,1431453864.027305,Rx,2246400,11520,0xff,1431453864.027305,0.0
196,Tx,2257920,11520,0xff,1431453865.021814,Rx,2257920,11520,0xff,1431453865.021814,0.0
197,Tx,2269440,11520,0xff,1431453866.022824,Rx,2269440,11520,0xff,1431453866.022824,0.0
198,Tx,2280960,11520,0xff,1431453867.02233,Rx,2280960,11520,0xff,1431453867.02233,0.0
199,Tx,2292480,11520,0xff,1431453868.029338,Rx,2292480,11520,0xff,1431453868.029338,0.0
200,Tx,2304000,11520,0xff,1431453869.040348,Rx,2304000,11520,0xff,1431453869.040348,0.0
201,Tx,2315520,11520,0xff,1431453870.056355,Rx,2315520,11520,0xff,1431453870.056355,0.0
202,Tx,2327040,11520,0xff,1431453871.072365,Rx,2327040,11520,0xff,1431453871.072365,0.0
203,Tx,2338560,11520,0xff,1431453872.081875,Rx,2338560,11520,0xff,1431453872.082875,999.9275207519531
204,Tx,2350080,11520,0xff,1431453873.094384,Rx,2350080,11520,0xff,1431453873.094384,0.0
205,Tx,2361600,11520,0xff,1431453874.090396,Rx,2361600,11520,0xff,1431453874.090396,0.0
206,Tx,2373120,11520,0xff,1431453875.096907,Rx,2373120,11520,0xff,1431453875.096907,0.0
207,Tx,2384640,11520,0xff,1431453876.100914,Rx,2384640,11520,0xff,1431453876.100914,0.0
208,Tx,2396160,11520,0xff,1431453877.099422,Rx,2396160,11520,0xff,1431453877.099422,0.0
209,Tx,2407680,11520,0xff,1431453878.099433,Rx,2407680,11520,0xff,1431453878.099433,0.0
210,Tx,2419200,11520,0xff,1431453879.101444,Rx,2419200,11520,0xff,1431453879.101444,0.0
211,Tx,2430720,11520,0xff,1431453880.100954,Rx,2430720,11520,0xff,1431453880.100954,0.0
212,Tx,2442240,11520,0xff,1431453881.095461,Rx,2442240,11520,0xff,1431453881.095461,0.0
213,Tx,2453760,11520,0xff,1431453882.104969,Rx,2453760,11520,0xff,1431453882.104969,0.0
214,Tx,2465280,11520,0xff,1431453883.103977,Rx,2465280,11520,0xff,1431453883.103977,0.0
215,Tx,2476800,11520,0xff,1431453884.096985,Rx,2476800,11520,0xff,1431453884.096985,0.0
216,Tx,2488320,11520,0xff,1431453885.097495,Rx,2488320,11520,0xff,1431453885.097495,0.0
217,Tx,2499840,11520,0xff,1431453886.1045,Rx,2499840,11520,0xff,1431453886.1045,0.0
218,Tx,2511360,11520,0xff,1431453887.09552,Rx,2511360,11520,0xff,1431453887.09552,0.0
219,Tx,2522880,11520,0xff,1431453888.102546,Rx,2522880,11520,0xff,1431453888.102546,0.0
220,Tx,2534400,11520,0xff,1431453889.106588,Rx,2534400,11520,0xff,1431453889.106588,0.0
221,Tx,2545920,11520,0xff,1431453890.102606,Rx,2545920,11520,0xff,1431453890.102606,0.0
222,Tx,2557440,11520,0xff,1431453891.109622,Rx,2557440,11520,0xff,1431453891.109622,0.0
223,Tx,2568960,11520,0xff,1431453892.116667,Rx,2568960,11520,0xff,1431453892.116667,0.0
224,Tx,2580480,11520,0xff,1431453893.123704,Rx,2580480,11520,0xff,1431453893.123704,0.0
225,Tx,2592000,11520,0xff,1431453894.130721,Rx,2592000,11520,0xff,1431453894.130721,0.0
226,Tx,2603520,11520,0xff,1431453895.137739,Rx,2603520,11520,0xff,1431453895.137739,0.0
227,Tx,2615040,11520,0xff,1431453896.130755,Rx,2615040,11520,0xff,1431453896.130755,0.0
228,Tx,2626560,11520,0xff,1431453897.130775,Rx,2626560,11520,0xff,1431453897.130775,0.0
229,Tx,2638080,11520,0xff,1431453898.130795,Rx,2638080,11520,0xff,1431453898.130795,0.0
230,Tx,2649600,11520,0xff,1431453899.137828,Rx,2649600,11520,0xff,1431453899.137828,0.0
231,Tx,2661120,11520,0xff,1431453900.14485,Rx,2661120,11520,0xff,1431453900.14485,0.0
232,Tx,2672640,11520,0xff,1431453901.159864,Rx,2672640,11520,0xff,1431453901.159864,0.0
233,Tx,2684160,11520,0xff,1431453902.156872,Rx,2684160,11520,0xff,1431453902.156872,0.0
234,Tx,2695680,11520,0xff,1431453903.156878,Rx,2695680,11520,0xff,1431453903.156878,0.0
235,Tx,2707200,11520,0xff,1431453904.153883,Rx,2707200,11520,0xff,1431453904.153883,0.0
236,Tx,2718720,11520,0xff,1431453905.160889,Rx,2718720,11520,0xff,1431453905.160889,0.0
237,Tx,2730240,11520,0xff,1431453906.154894,Rx,2730240,11520,0xff,1431453906.155894,999.9275207519531
238,Tx,2741760,11520,0xff,1431453907.158901,Rx,2741760,11520,0xff,1431453907.158901,0.0
239,Tx,2753280,11520,0xff,1431453908.154904,Rx,2753280,11520,0xff,1431453908.154904,0.0
240,Tx,2764800,11520,0xff,1431453909.153914,Rx,2764800,11520,0xff,1431453909.153914,0.0
241,Tx,2776320,11520,0xff,1431453910.15892,Rx,2776320,11520,0xff,1431453910.15892,0.0
242,Tx,2787840,11520,0xff,1431453911.159927,Rx,2787840,11520,0xff,1431453911.159927,0.0
243,Tx,2799360,11520,0xff,1431453912.160935,Rx,2799360,11520,0xff,1431453912.160935,0.0
244,Tx,2810880,11520,0xff,1431453913.15794,Rx,2810880,11520,0xff,1431453913.15794,0.0
245,Tx,2822400,11520,0xff,1431453914.153942,Rx,2822400,11520,0xff,1431453914.154942,999.9275207519531
246,Tx,2833920,11520,0xff,1431453915.165948,Rx,2833920,11520,0xff,1431453915.165948,0.0
247,Tx,2845440,11520,0xff,1431453916.170952,Rx,2845440,11520,0xff,1431453916.170952,0.0
248,Tx,2856960,11520,0xff,1431453917.16596,Rx,2856960,11520,0xff,1431453917.16596,0.0
249,Tx,2868480,11520,0xff,1431453918.161985,Rx,2868480,11520,0xff,1431453918.161985,0.0
